Team,xG,Goals,Home/Away,Game
Brighton,1.34,0,Home,Brighton 0-2 Tottenham
Tottenham,1.89,2,Away,Brighton 0-2 Tottenham
Man Utd,1.23,0,Home,Man Utd 0-1 Atletico
Atletico,0.54,1,Away,Man Utd 0-1 Atletico
C Palace,0.66,0,Home,C Palace 0-0 Man City
Man City,2.37,0,Away,C Palace 0-0 Man City
Arsenal,3.13,2,Home,Arsenal 2-0 Leicester
Leicester,0.55,0,Away,Arsenal 2-0 Leicester
West Ham,1.51,2,Home,West Ham 2-1 Aston Villa
Aston Villa,1.23,1,Away,West Ham 2-1 Aston Villa
Southampton,1.48,1,Home,Southampton 1-2 Watford
Watford,1.38,2,Away,Southampton 1-2 Watford
Everton,0.40,0,Home,Everton 0-1 Wolves
Wolves,0.70,1,Away,Everton 0-1 Wolves
Leeds,2.97,2,Home,Leeds 2-1 Norwich
Norwich,0.92,1,Away,Leeds 2-1 Norwich
Chelsea,1.27,1,Home,Chelsea 1-0 Newcastle
Newcastle,0.34,0,Away,Chelsea 1-0 Newcastle
Ronaldo,0.83,3,Home,Ronaldo 3-2 Tottenham
Tottenham,1.70,2,Away,Ronaldo 3-2 Tottenham
Man Utd,0.99,3,Home,Man Utd 3-2 Tottenham
Tottenham,1.70,2,Away,Man Utd 3-2 Tottenham
Brentford,1.68,2,Home,Brentford 2-0 Burnley
Burnley,0.76,0,Away,Brentford 2-0 Burnley
Brighton,0.60,0,Home,Brighton 0-2 Liverpool
Liverpool,2.61,2,Away,Brighton 0-2 Liverpool
Leeds,0.21,0,Home,Leeds 0-3 Aston Villa
Aston Villa,1.20,3,Away,Leeds 0-3 Aston Villa
Southampton,2.02,1,Home,Southampton 1-2 Newcastle
Newcastle,0.81,2,Away,Southampton 1-2 Newcastle
Norwich,1.10,1,Home,Norwich 1-3 Chelsea
Chelsea,1.52,3,Away,Norwich 1-3 Chelsea
Wolves,1.28,4,Home,Wolves 4-0 Watford
Watford,0.54,0,Away,Wolves 4-0 Watford
Karim Benzema,1.26,3,Home,Karim Benzema 3-1 PSG
PSG,1.43,1,Away,Karim Benzema 3-1 PSG
Real Madrid,2.12,3,Home,Real Madrid 3-1 PSG
PSG,1.43,1,Away,Real Madrid 3-1 PSG
Man City,1.61,0,Home,Man City 0-0 Sporting CP
Sporting CP,0.68,0,Away,Man City 0-0 Sporting CP
Liverpool,1.87,0,Home,Liverpool 0-1 Inter Milan
Inter Milan,0.26,1,Away,Liverpool 0-1 Inter Milan
Bayern,3.53,7,Home,Bayern 7-1 Salzburg
Salzburg,0.61,1,Away,Bayern 7-1 Salzburg
Blackburn,1.33,0,Home,Blackburn 0-0 Millwall
Millwall,0.00,0,Away,Blackburn 0-0 Millwall
Spurs,2.87,5,Home,Spurs 5-0 Everton
Everton,0.32,0,Away,Spurs 5-0 Everton
Man City,2.75,4,Home,Man City 4-1 Man Utd
Man Utd,0.55,1,Away,Man City 4-1 Man Utd
Watford,1.42,2,Home,Watford 2-3 Arsenal
Arsenal,0.94,3,Away,Watford 2-3 Arsenal
Liverpool,2.05,1,Home,Liverpool 1-0 West Ham
West Ham,1.67,0,Away,Liverpool 1-0 West Ham
Newcastle,1.60,2,Home,Newcastle 2-1 Brighton
Brighton,1.81,1,Away,Newcastle 2-1 Brighton
Wolves,0.74,0,Home,Wolves 0-2 C Palace
C Palace,2.47,2,Away,Wolves 0-2 C Palace
Norwich,0.88,1,Home,Norwich 1-3 Brentford
Brentford,2.20,3,Away,Norwich 1-3 Brentford
Aston Villa,2.31,4,Home,Aston Villa 4-0 Southampton
Southampton,1.20,0,Away,Aston Villa 4-0 Southampton
Burnley,0.85,0,Home,Burnley 0-4 Chelsea
Chelsea,2.19,4,Away,Burnley 0-4 Chelsea
Leicester,0.35,1,Home,Leicester 1-0 Leeds
Leeds,2.14,0,Away,Leicester 1-0 Leeds
Burnley,1.21,0,Home,Burnley 0-2 Leicester
Leicester,1.69,2,Away,Burnley 0-2 Leicester
West Ham,1.66,1,Home,West Ham 1-0 Wolves
Wolves,0.95,0,Away,West Ham 1-0 Wolves
Everton,0.67,0,Home,Everton 0-1 Man City
Man City,2.06,1,Away,Everton 0-1 Man City
Brighton,0.71,0,Home,Brighton 0-2 Aston Villa
Aston Villa,1.55,2,Away,Brighton 0-2 Aston Villa
Brentford,0.16,0,Home,Brentford 0-2 Newcastle
Newcastle,2.36,2,Away,Brentford 0-2 Newcastle
C Palace,0.99,1,Home,C Palace 1-1 Burnley
Burnley,0.29,1,Away,C Palace 1-1 Burnley
Man Utd,2.53,0,Home,Man Utd 0-0 Watford
Watford,0.51,0,Away,Man Utd 0-0 Watford
Leeds,1.70,0,Home,Leeds 0-4 Tottenham
Tottenham,2.14,4,Away,Leeds 0-4 Tottenham
Southampton,2.86,2,Home,Southampton 2-0 Norwich
Norwich,0.41,0,Away,Southampton 2-0 Norwich
Arsenal,2.88,2,Home,Arsenal 2-1 Wolves
Wolves,0.98,1,Away,Arsenal 2-1 Wolves
Atletico,1.63,1,Home,Atletico 1-1 Man Utd
Man Utd,0.40,1,Away,Atletico 1-1 Man Utd
Liverpool,4.91,6,Home,Liverpool 6-0 Leeds
Leeds,0.12,0,Away,Liverpool 6-0 Leeds
Watford,1.68,1,Home,Watford 1-4 C Palace
C Palace,0.74,4,Away,Watford 1-4 C Palace
Burnley,1.75,1,Home,Burnley 1-0 Spurs
Spurs,0.72,0,Away,Burnley 1-0 Spurs
Villarreal,1.25,1,Home,Villarreal 1-1 Juventus
Juventus,0.36,1,Away,Villarreal 1-1 Juventus
Chelsea,1.80,2,Home,Chelsea 2-0 Lille
Lille,0.66,0,Away,Chelsea 2-0 Lille
Wolves,0.57,2,Home,Wolves 2-1 Leicester
Leicester,1.59,1,Away,Wolves 2-1 Leicester
Leeds,1.40,2,Home,Leeds 2-4 Man Utd
Man Utd,2.16,4,Away,Leeds 2-4 Man Utd
Man City,2.58,2,Home,Man City 2-2 Harry Kane
Harry Kane,1.22,2,Away,Man City 2-2 Harry Kane
Man City,2.58,2,Home,Man City 2-3 Tottenham
Tottenham,1.74,3,Away,Man City 2-3 Tottenham
C Palace,0.85,0,Home,C Palace 0-1 Chelsea
Chelsea,1.23,1,Away,C Palace 0-1 Chelsea
Arsenal,1.89,2,Home,Arsenal 2-1 Brentford
Brentford,0.87,1,Away,Arsenal 2-1 Brentford
Southampton,2.91,2,Home,Southampton 2-0 Everton
Everton,0.29,0,Away,Southampton 2-0 Everton
Brighton,0.60,0,Home,Brighton 0-3 Burnley
Burnley,0.62,3,Away,Brighton 0-3 Burnley
Liverpool,3.07,3,Home,Liverpool 3-1 Norwich
Norwich,0.53,1,Away,Liverpool 3-1 Norwich
Salzburg,0.93,1,Home,Salzburg 1-1 Bayern
Bayern,2.12,1,Away,Salzburg 1-1 Bayern
Inter Milan,0.49,0,Home,Inter Milan 0-2 Liverpool
Liverpool,1.38,2,Away,Inter Milan 0-2 Liverpool
Man Utd,2.57,2,Home,Man Utd 2-0 Brighton
Brighton,1.17,0,Away,Man Utd 2-0 Brighton
Sporting CP,0.12,0,Home,Sporting CP 0-5 Man City
Man City,2.46,5,Away,Sporting CP 0-5 Man City
PSG,1.91,1,Home,PSG 1-0 Real Madrid
Real Madrid,0.13,0,Away,PSG 1-0 Real Madrid
Leicester,1.43,2,Home,Leicester 2-2 West Ham
West Ham,0.96,2,Away,Leicester 2-2 West Ham
Newcastle,0.52,1,Home,Newcastle 1-0 1-0 (0.52) Aston Villa
1-0 (0.52) Aston Villa,0.52,0,Away,Newcastle 1-0 1-0 (0.52) Aston Villa
Burnley,0.86,0,Home,Burnley 0-1 Liverpool
Liverpool,2.18,1,Away,Burnley 0-1 Liverpool
Tottenham,1.09,0,Home,Tottenham 0-2 Wolves
Wolves,1.82,2,Away,Tottenham 0-2 Wolves
Norwich,0.48,0,Home,Norwich 0-4 Man City
Man City,4.26,4,Away,Norwich 0-4 Man City
Everton,2.03,3,Home,Everton 3-0 Leeds
Leeds,0.29,0,Away,Everton 3-0 Leeds
Brentford,1.91,0,Home,Brentford 0-0 C Palace
C Palace,0.54,0,Away,Brentford 0-0 C Palace
Watford,0.42,0,Home,Watford 0-2 Brighton
Brighton,1.98,2,Away,Watford 0-2 Brighton
Man Utd,2.53,1,Home,Man Utd 1-1 Southampton
Southampton,0.71,1,Away,Man Utd 1-1 Southampton
Wolves,0.85,0,Home,Wolves 0-1 Arsenal
Arsenal,1.55,1,Away,Wolves 0-1 Arsenal
Liverpool,3.36,2,Home,Liverpool 2-0 Leicester
Leicester,0.43,0,Away,Liverpool 2-0 Leicester
Aston Villa,1.97,3,Home,Aston Villa 3-3 Leeds
Leeds,1.91,3,Away,Aston Villa 3-3 Leeds
Spurs,1.68,2,Home,Spurs 2-3 Southampton
Southampton,2.05,3,Away,Spurs 2-3 Southampton
Man City,1.70,2,Home,Man City 2-0 Brentford
Brentford,0.53,0,Away,Man City 2-0 Brentford
Norwich,0.64,1,Home,Norwich 1-1 C Palace
C Palace,1.40,1,Away,Norwich 1-1 C Palace
Burnley,0.72,1,Home,Burnley 1-1 Man Utd
Man Utd,1.67,1,Away,Burnley 1-1 Man Utd
Newcastle,2.62,3,Home,Newcastle 3-1 Everton
Everton,0.67,1,Away,Newcastle 3-1 Everton
West Ham,1.10,1,Home,West Ham 1-0 Watford
Watford,0.32,0,Away,West Ham 1-0 Watford
Burnley,0.65,0,Home,Burnley 0-0 Watford
Watford,0.93,0,Away,Burnley 0-0 Watford
Chelsea,1.06,2,Home,Chelsea 2-0 Spurs
Spurs,0.33,0,Away,Chelsea 2-0 Spurs
Leicester,1.74,1,Home,Leicester 1-1 Brighton
Brighton,1.25,1,Away,Leicester 1-1 Brighton
C Palace,1.82,1,Home,C Palace 1-3 Liverpool
Liverpool,1.48,3,Away,C Palace 1-3 Liverpool
Arsenal,1.40,0,Home,Arsenal 0-0 Burnley
Burnley,0.44,0,Away,Arsenal 0-0 Burnley
Southampton,1.16,1,Home,Southampton 1-1 Man City
Man City,1.54,1,Away,Southampton 1-1 Man City
Brentford,0.95,1,Home,Brentford 1-2 Wolves
Wolves,0.25,2,Away,Brentford 1-2 Wolves
Leeds,1.41,0,Home,Leeds 0-1 Newcastle
Newcastle,1.08,1,Away,Leeds 0-1 Newcastle
Man Utd,1.67,1,Home,Man Utd 1-0 West Ham
West Ham,0.27,0,Away,Man Utd 1-0 West Ham
Everton,1.59,0,Home,Everton 0-1 Aston Villa
Aston Villa,1.05,1,Away,Everton 0-1 Aston Villa
Watford,1.30,0,Home,Watford 0-3 Norwich
Norwich,1.09,3,Away,Watford 0-3 Norwich
Brentford,2.73,1,Home,Brentford 1-3 Man Utd
Man Utd,1.98,3,Away,Brentford 1-3 Man Utd
Leicester,1.88,2,Home,Leicester 2-3 Tottenham
Tottenham,4.56,3,Away,Leicester 2-3 Tottenham
Brighton,0.78,1,Home,Brighton 1-1 Chelsea
Chelsea,0.59,1,Away,Brighton 1-1 Chelsea
West Ham,2.04,2,Home,West Ham 2-3 Leeds
Leeds,2.10,3,Away,West Ham 2-3 Leeds
Liverpool,3.51,3,Home,Liverpool 3-0 Brentford
Brentford,0.36,0,Away,Liverpool 3-0 Brentford
Aston Villa,1.93,2,Home,Aston Villa 2-2 Man Utd
Man Utd,1.27,2,Away,Aston Villa 2-2 Man Utd
Wolves,1.93,3,Home,Wolves 3-1 Southampton
Southampton,0.89,1,Away,Wolves 3-1 Southampton
Norwich,1.24,2,Home,Norwich 2-1 Everton
Everton,0.80,1,Away,Norwich 2-1 Everton
Newcastle,1.37,1,Home,Newcastle 1-1 Watford
Watford,1.47,1,Away,Newcastle 1-1 Watford
Man City,0.98,1,Home,Man City 1-0 Chelsea
Chelsea,0.44,0,Away,Man City 1-0 Chelsea
Brighton,2.54,1,Home,Brighton 1-1 C Palace
C Palace,0.47,1,Away,Brighton 1-1 C Palace
West Ham,2.55,2,Home,West Ham 2-0 Norwich
Norwich,0.27,0,Away,West Ham 2-0 Norwich
Reading,0.18,0,Home,Reading 0-7 Fulham
Fulham,5.39,7,Away,Reading 0-7 Fulham
Southampton,1.63,4,Home,Southampton 4-1 Brentford
Brentford,0.56,1,Away,Southampton 4-1 Brentford
Man Utd,0.76,0,Home,Man Utd 0-1 Wolves
Wolves,0.94,1,Away,Man Utd 0-1 Wolves
Chelsea,1.68,2,Home,Chelsea 2-2 Liverpool
Liverpool,1.66,2,Away,Chelsea 2-2 Liverpool
Leeds,1.90,3,Home,Leeds 3-1 Burnley
Burnley,1.22,1,Away,Leeds 3-1 Burnley
Everton,1.76,2,Home,Everton 2-3 Brighton
Brighton,1.55,3,Away,Everton 2-3 Brighton
Brentford,0.71,2,Home,Brentford 2-1 Aston Villa
Aston Villa,1.05,1,Away,Brentford 2-1 Aston Villa
C Palace,2.87,2,Home,C Palace 2-3 West Ham
West Ham,2.22,3,Away,C Palace 2-3 West Ham
Watford,0.38,0,Home,Watford 0-1 Tottenham
Tottenham,2.17,1,Away,Watford 0-1 Tottenham
Arsenal,0.81,1,Home,Arsenal 1-2 Man City
Man City,1.96,2,Away,Arsenal 1-2 Man City
10: Bayern,4.14,2,Home,10: Bayern 2-3 PSG https://t.co/owe4Q2zWKg
PSG https://t.co/owe4Q2zWKg,1.54,3,Away,10: Bayern 2-3 PSG https://t.co/owe4Q2zWKg
Man Utd,1.75,3,Home,Man Utd 3-1 Burnley
Burnley,1.18,1,Away,Man Utd 3-1 Burnley
Brentford,0.30,0,Home,Brentford 0-1 Man City
Man City,1.00,1,Away,Brentford 0-1 Man City
Chelsea,0.72,1,Home,Chelsea 1-1 Brighton
Brighton,1.04,1,Away,Chelsea 1-1 Brighton
Leicester,0.63,1,Home,Leicester 1-0 Mo Salah
Mo Salah,1.73,0,Away,Leicester 1-0 Mo Salah
Leicester,0.63,1,Home,Leicester 1-0 Liverpool
Liverpool,2.42,0,Away,Leicester 1-0 Liverpool
Crystal Palace,2.31,3,Home,Crystal Palace 3-0 Norwich
Norwich,0.76,0,Away,Crystal Palace 3-0 Norwich
Watford,1.25,1,Home,Watford 1-4 West Ham
West Ham,2.60,4,Away,Watford 1-4 West Ham
Southampton,0.40,1,Home,Southampton 1-1 Spurs
Spurs,2.61,1,Away,Southampton 1-1 Spurs
Newcastle,1.29,1,Home,Newcastle 1-1 Man Utd
Man Utd,1.51,1,Away,Newcastle 1-1 Man Utd
Brighton,0.79,2,Home,Brighton 2-0 Brentford
Brentford,0.86,0,Away,Brighton 2-0 Brentford
Aston Villa,0.40,1,Home,Aston Villa 1-3 Chelsea
Chelsea,2.79,3,Away,Aston Villa 1-3 Chelsea
Norwich,0.19,0,Home,Norwich 0-5 Arsenal
Arsenal,2.65,5,Away,Norwich 0-5 Arsenal
West Ham,1.51,2,Home,West Ham 2-3 Southampton
Southampton,1.32,3,Away,West Ham 2-3 Southampton
Spurs,2.39,3,Home,Spurs 3-0 Crystal Palace
Crystal Palace,0.23,0,Away,Spurs 3-0 Crystal Palace
Man City,3.81,6,Home,Man City 6-3 Leicester
Leicester,2.46,3,Away,Man City 6-3 Leicester
Tottenham,2.62,2,Home,Tottenham 2-2 Liverpool
Liverpool,1.52,2,Away,Tottenham 2-2 Liverpool
Wolves,0.36,0,Home,Wolves 0-0 Chelsea
Chelsea,0.69,0,Away,Wolves 0-0 Chelsea
Newcastle,0.37,0,Home,Newcastle 0-4 Man City
Man City,3.30,4,Away,Newcastle 0-4 Man City
Leeds,1.47,1,Home,Leeds 1-4 Arsenal
Arsenal,3.60,4,Away,Leeds 1-4 Arsenal
Liverpool,3.25,3,Home,Liverpool 3-1 Newcastle
Newcastle,0.23,1,Away,Liverpool 3-1 Newcastle
Chelsea,3.47,1,Home,Chelsea 1-1 Everton
Everton,0.54,1,Away,Chelsea 1-1 Everton
Arsenal,2.91,2,Home,Arsenal 2-0 West Ham
West Ham,0.37,0,Away,Arsenal 2-0 West Ham
Brighton,1.62,0,Home,Brighton 0-1 Wolves
Wolves,0.93,1,Away,Brighton 0-1 Wolves
C Palace,1.63,2,Home,C Palace 2-2 Southampton
Southampton,0.77,2,Away,C Palace 2-2 Southampton
Man City,2.78,7,Home,Man City 7-0 Leeds
Leeds,0.22,0,Away,Man City 7-0 Leeds
Norwich,0.62,0,Home,Norwich 0-2 Aston Villa
Aston Villa,1.77,2,Away,Norwich 0-2 Aston Villa
Crystal Palace,2.13,3,Home,Crystal Palace 3-1 Everton
Everton,1.28,1,Away,Crystal Palace 3-1 Everton
Burnley,0.76,0,Home,Burnley 0-0 West Ham
West Ham,1.06,0,Away,Burnley 0-0 West Ham
Leicester,2.18,4,Home,Leicester 4-0 Newcastle
Newcastle,0.61,0,Away,Leicester 4-0 Newcastle
Norwich,1.25,0,Home,Norwich 0-1 Man Utd
Man Utd,1.99,1,Away,Norwich 0-1 Man Utd
Chelsea,2.89,3,Home,Chelsea 3-2 Leeds
Leeds,1.94,2,Away,Chelsea 3-2 Leeds
Arsenal,1.81,3,Home,Arsenal 3-0 Southampton
Southampton,0.56,0,Away,Arsenal 3-0 Southampton
Liverpool,2.23,1,Home,Liverpool 1-0 Aston Villa
Aston Villa,0.19,0,Away,Liverpool 1-0 Aston Villa
Man City,2.77,1,Home,Man City 1-0 Wolves
Wolves,0.14,0,Away,Man City 1-0 Wolves
Brentford,1.97,2,Home,Brentford 2-1 Watford
Watford,0.72,1,Away,Brentford 2-1 Watford
Napoli,1.16,3,Home,Napoli 3-2 Leicester
Leicester,2.02,2,Away,Napoli 3-2 Leicester
Zenit,2.26,3,Home,Zenit 3-3 Chelsea
Chelsea,2.75,3,Away,Zenit 3-3 Chelsea
AC Milan,1.48,1,Home,AC Milan 1-2 Liverpool
Liverpool,1.57,2,Away,AC Milan 1-2 Liverpool
RB Leipzig,1.67,2,Home,RB Leipzig 2-1 Man City
Man City,1.52,1,Away,RB Leipzig 2-1 Man City
Everton,1.05,2,Home,Everton 2-1 Arsenal
Arsenal,0.94,1,Away,Everton 2-1 Arsenal
Aston Villa,2.06,2,Home,Aston Villa 2-1 Leicester
Leicester,0.96,1,Away,Aston Villa 2-1 Leicester
Tottenham,1.63,3,Home,Tottenham 3-0 Norwich
Norwich,1.30,0,Away,Tottenham 3-0 Norwich
Leeds,1.01,2,Home,Leeds 2-2 Brentford
Brentford,1.02,2,Away,Leeds 2-2 Brentford
Man Utd,0.89,1,Home,Man Utd 1-0 C Palace
C Palace,0.57,0,Away,Man Utd 1-0 C Palace
Watford,0.86,1,Home,Watford 1-3 Man City
Man City,3.48,3,Away,Watford 1-3 Man City
Southampton,1.13,1,Home,Southampton 1-1 Brighton
Brighton,1.20,1,Away,Southampton 1-1 Brighton
Newcastle,1.51,1,Home,Newcastle 1-0 Burnley
Burnley,0.64,0,Away,Newcastle 1-0 Burnley
Wolves,0.14,0,Home,Wolves 0-1 Liverpool
Liverpool,2.32,1,Away,Wolves 0-1 Liverpool
West Ham,1.84,3,Home,West Ham 3-2 Chelsea
Chelsea,1.13,2,Away,West Ham 3-2 Chelsea
Man Utd,2.15,3,Home,Man Utd 3-2 Arsenal
Arsenal,1.26,2,Away,Man Utd 3-2 Arsenal
Spurs,2.26,2,Home,Spurs 2-0 Brentford
Brentford,0.40,0,Away,Spurs 2-0 Brentford
Aston Villa,0.78,1,Home,Aston Villa 1-2 Man City
Man City,1.18,2,Away,Aston Villa 1-2 Man City
Everton,0.54,1,Home,Everton 1-4 Liverpool
Liverpool,2.97,4,Away,Everton 1-4 Liverpool
Watford,0.85,1,Home,Watford 1-2 Chelsea
Chelsea,0.83,2,Away,Watford 1-2 Chelsea
Southampton,1.78,2,Home,Southampton 2-2 Leicester
Leicester,1.41,2,Away,Southampton 2-2 Leicester
West Ham,0.96,1,Home,West Ham 1-1 Brighton
Brighton,1.33,1,Away,West Ham 1-1 Brighton
Wolves,0.74,0,Home,Wolves 0-0 Burnley
Burnley,0.25,0,Away,Wolves 0-0 Burnley
Leeds,1.81,1,Home,Leeds 1-0 Crystal Palace
Crystal Palace,0.74,0,Away,Leeds 1-0 Crystal Palace
Newcastle,1.17,1,Home,Newcastle 1-1 Norwich
Norwich,1.33,1,Away,Newcastle 1-1 Norwich
Chelsea,2.81,1,Home,Chelsea 1-1 Man Utd
Man Utd,0.86,1,Away,Chelsea 1-1 Man Utd
Man City,2.80,2,Home,Man City 2-1 West Ham
West Ham,0.24,1,Away,Man City 2-1 West Ham
Leicester,2.28,4,Home,Leicester 4-2 Watford
Watford,2.91,2,Away,Leicester 4-2 Watford
Brentford,1.13,1,Home,Brentford 1-0 Everton
Everton,1.15,0,Away,Brentford 1-0 Everton
Brighton,1.90,0,Home,Brighton 0-0 Leeds
Leeds,0.88,0,Away,Brighton 0-0 Leeds
C Palace,0.82,1,Home,C Palace 1-2 Aston Villa
Aston Villa,0.55,2,Away,C Palace 1-2 Aston Villa
Norwich,1.33,0,Home,Norwich 0-0 Wolves
Wolves,0.23,0,Away,Norwich 0-0 Wolves
Liverpool,2.68,4,Home,Liverpool 4-0 Southampton
Southampton,1.36,0,Away,Liverpool 4-0 Southampton
Arsenal,3.04,2,Home,Arsenal 2-0 Newcastle
Newcastle,0.31,0,Away,Arsenal 2-0 Newcastle
Leicester,1.82,3,Home,Leicester 3-1 Legia
Legia,1.31,1,Away,Leicester 3-1 Legia
Rapid Wien,0.55,0,Home,Rapid Wien 0-2 West Ham
West Ham,4.21,2,Away,Rapid Wien 0-2 West Ham
Liverpool,0.66,2,Home,Liverpool 2-0 Porto
Porto,1.07,0,Away,Liverpool 2-0 Porto
Man City,2.04,2,Home,Man City 2-1 PSG
PSG,1.03,1,Away,Man City 2-1 PSG
Chelsea,3.11,4,Home,Chelsea 4-0 Juventus
Juventus,0.68,0,Away,Chelsea 4-0 Juventus
Villarreal,0.62,0,Home,Villarreal 0-2 Man Utd
Man Utd,1.27,2,Away,Villarreal 0-2 Man Utd
Tottenham,2.16,2,Home,Tottenham 2-1 Leeds
Leeds,1.41,1,Away,Tottenham 2-1 Leeds
Man City,2.33,3,Home,Man City 3-0 Everton
Everton,0.28,0,Away,Man City 3-0 Everton
Liverpool,3.47,4,Home,Liverpool 4-0 Arsenal
Arsenal,0.30,0,Away,Liverpool 4-0 Arsenal
Wolves,1.42,1,Home,Wolves 1-0 West Ham
West Ham,0.50,0,Away,Wolves 1-0 West Ham
Norwich,0.55,2,Home,Norwich 2-1 Southampton
Southampton,1.01,1,Away,Norwich 2-1 Southampton
Watford,2.80,4,Home,Watford 4-1 Man Utd
Man Utd,1.94,1,Away,Watford 4-1 Man Utd
Newcastle,2.18,3,Home,Newcastle 3-3 Brentford
Brentford,1.10,3,Away,Newcastle 3-3 Brentford
Burnley,0.92,3,Home,Burnley 3-3 C Palace
C Palace,2.63,3,Away,Burnley 3-3 C Palace
Aston Villa,0.59,2,Home,Aston Villa 2-0 Brighton
Brighton,0.29,0,Away,Aston Villa 2-0 Brighton
Leicester,0.45,0,Home,Leicester 0-3 Chelsea
Chelsea,2.39,3,Away,Leicester 0-3 Chelsea
San Marino,0.06,0,Home,San Marino 0-10 England
England,6.34,10,Away,San Marino 0-10 England
England,2.71,5,Home,England 5-0 Albania
Albania,0.43,0,Away,England 5-0 Albania
West Ham,1.23,3,Home,West Ham 3-2 Liverpool
Liverpool,1.11,2,Away,West Ham 3-2 Liverpool
Arsenal,1.56,1,Home,Arsenal 1-0 Watford
Watford,0.45,0,Away,Arsenal 1-0 Watford
Everton,0.70,0,Home,Everton 0-0 Tottenham
Tottenham,0.78,0,Away,Everton 0-0 Tottenham
Leeds,1.72,1,Home,Leeds 1-1 Leicester
Leicester,0.87,1,Away,Leeds 1-1 Leicester
Brighton,1.38,1,Home,Brighton 1-1 Newcastle
Newcastle,0.36,1,Away,Brighton 1-1 Newcastle
Brentford,2.84,1,Home,Brentford 1-2 Norwich
Norwich,1.17,2,Away,Brentford 1-2 Norwich
Chelsea,2.70,1,Home,Chelsea 1-1 Burnley
Burnley,0.62,1,Away,Chelsea 1-1 Burnley
Man Utd,0.78,0,Home,Man Utd 0-2 Man City
Man City,2.02,2,Away,Man Utd 0-2 Man City
Southampton,0.82,1,Home,Southampton 1-0 Aston Villa
Aston Villa,0.71,0,Away,Southampton 1-0 Aston Villa
Genk,1.12,2,Home,Genk 2-2 West Ham
West Ham,3.28,2,Away,Genk 2-2 West Ham
Liverpool,2.58,2,Home,Liverpool 2-0 Atletico
Atletico,0.23,0,Away,Liverpool 2-0 Atletico
Man City,4.74,4,Home,Man City 4-1 Club Brugge
Club Brugge,0.80,1,Away,Man City 4-1 Club Brugge
Atalanta,1.62,2,Home,Atalanta 2-2 Man Utd
Man Utd,1.07,2,Away,Atalanta 2-2 Man Utd
Malmo,0.21,0,Home,Malmo 0-1 Chelsea
Chelsea,2.64,1,Away,Malmo 0-1 Chelsea
Wolves,1.88,2,Home,Wolves 2-1 Everton
Everton,1.89,1,Away,Wolves 2-1 Everton
Aston Villa,0.78,1,Home,Aston Villa 1-4 West Ham
West Ham,2.82,4,Away,Aston Villa 1-4 West Ham
Norwich,0.90,1,Home,Norwich 1-2 Leeds
Leeds,0.99,2,Away,Norwich 1-2 Leeds
Tottenham,1.28,0,Home,Tottenham 0-3 Man Utd
Man Utd,1.35,3,Away,Tottenham 0-3 Man Utd
Man City,0.75,0,Home,Man City 0-2 C Palace
C Palace,1.05,2,Away,Man City 0-2 C Palace
Newcastle,0.22,0,Home,Newcastle 0-3 Chelsea
Chelsea,2.62,3,Away,Newcastle 0-3 Chelsea
Liverpool,1.30,2,Home,Liverpool 2-2 Brighton
Brighton,1.53,2,Away,Liverpool 2-2 Brighton
Burnley,2.67,3,Home,Burnley 3-1 Brentford
Brentford,0.89,1,Away,Burnley 3-1 Brentford
Leicester,1.98,0,Home,Leicester 0-2 Arsenal
Arsenal,0.92,2,Away,Leicester 0-2 Arsenal
Man Utd,1.37,0,Home,Man Utd 0-3 Mo Salah
Mo Salah,1.96,3,Away,Man Utd 0-3 Mo Salah
Man Utd,1.37,0,Home,Man Utd 0-5 Liverpool
Liverpool,3.74,5,Away,Man Utd 0-5 Liverpool
Brentford,1.02,1,Home,Brentford 1-2 Leicester
Leicester,0.85,2,Away,Brentford 1-2 Leicester
West Ham,1.68,1,Home,West Ham 1-0 Tottenham
Tottenham,0.65,0,Away,West Ham 1-0 Tottenham
Brighton,1.35,1,Home,Brighton 1-4 Man City
Man City,3.27,4,Away,Brighton 1-4 Man City
Leeds,1.69,1,Home,Leeds 1-1 Wolves
Wolves,0.95,1,Away,Leeds 1-1 Wolves
C Palace,1.86,1,Home,C Palace 1-1 Newcastle
Newcastle,0.80,1,Away,C Palace 1-1 Newcastle
Everton,1.80,2,Home,Everton 2-5 Watford
Watford,3.13,5,Away,Everton 2-5 Watford
Southampton,1.66,2,Home,Southampton 2-2 Burnley
Burnley,0.71,2,Away,Southampton 2-2 Burnley
Mason Mount,1.40,3,Home,Mason Mount 3-0 Norwich
Norwich,0.24,0,Away,Mason Mount 3-0 Norwich
Chelsea,2.87,7,Home,Chelsea 7-0 Norwich
Norwich,0.24,0,Away,Chelsea 7-0 Norwich
Arsenal,3.24,3,Home,Arsenal 3-1 Aston Villa
Aston Villa,1.52,1,Away,Arsenal 3-1 Aston Villa
Chelsea,2.64,4,Home,Chelsea 4-0 Malmo
Malmo,0.07,0,Away,Chelsea 4-0 Malmo
Man Utd,3.12,3,Home,Man Utd 3-2 Atalanta
Atalanta,1.72,2,Away,Man Utd 3-2 Atalanta
Spartak,1.36,3,Home,Spartak 3-4 Leicester
Leicester,3.08,4,Away,Spartak 3-4 Leicester
Atletico,2.26,2,Home,Atletico 2-3 Liverpool
Liverpool,1.31,3,Away,Atletico 2-3 Liverpool
Club Brugge,0.63,1,Home,Club Brugge 1-5 Man City
