Team,xG,Goals,Home/Away,Game
Man Utd,0.86,0,Home,Man Utd 0-1 Real Sociedad
Real Sociedad,1.39,1,Away,Man Utd 0-1 Real Sociedad
Zurich,1.10,1,Home,Zurich 1-2 Arsenal
Arsenal,2.47,2,Away,Zurich 1-2 Arsenal
Richarlison,0.60,2,Home,Richarlison 2-0 Marseille
Marseille,0.20,0,Away,Richarlison 2-0 Marseille
Tottenham,1.34,2,Home,Tottenham 2-0 Marseille
Marseille,0.20,0,Away,Tottenham 2-0 Marseille
Napoli,4.59,4,Home,Napoli 4-1 Liverpool
Liverpool,1.17,1,Away,Napoli 4-1 Liverpool
Sevilla,0.33,0,Home,Sevilla 0-4 Man City
Man City,4.07,4,Away,Sevilla 0-4 Man City
D Zagreb,0.45,1,Home,D Zagreb 1-0 Chelsea
Chelsea,0.86,0,Away,D Zagreb 1-0 Chelsea
Man Utd,1.47,3,Home,Man Utd 3-1 Arsenal
Arsenal,1.52,1,Away,Man Utd 3-1 Arsenal
Brighton,3.09,5,Home,Brighton 5-2 Leicester
Leicester,1.17,2,Away,Brighton 5-2 Leicester
Aston Villa,0.26,1,Home,Aston Villa 1-1 Man City
Man City,2.03,1,Away,Aston Villa 1-1 Man City
N Forest,1.53,2,Home,N Forest 2-3 Bournemouth
Bournemouth,0.71,3,Away,N Forest 2-3 Bournemouth
Tottenham,3.09,2,Home,Tottenham 2-1 Fulham
Fulham,0.60,1,Away,Tottenham 2-1 Fulham
Ivan Toney,1.04,3,Home,Ivan Toney 3-2 Leeds
Leeds,1.48,2,Away,Ivan Toney 3-2 Leeds
Brentford,2.30,5,Home,Brentford 5-2 Leeds
Leeds,1.48,2,Away,Brentford 5-2 Leeds
Newcastle,2.45,0,Home,Newcastle 0-0 C Palace
C Palace,0.99,0,Away,Newcastle 0-0 C Palace
Chelsea,0.88,2,Home,Chelsea 2-1 West Ham
West Ham,1.21,1,Away,Chelsea 2-1 West Ham
Wolves,0.86,1,Home,Wolves 1-0 Southampton
Southampton,1.37,0,Away,Wolves 1-0 Southampton
Everton,1.40,0,Home,Everton 0-0 Liverpool
Liverpool,1.47,0,Away,Everton 0-0 Liverpool
Leicester,0.55,0,Home,Leicester 0-1 Man Utd
Man Utd,1.26,1,Away,Leicester 0-1 Man Utd
Liverpool,1.53,2,Home,Liverpool 2-1 Newcastle
Newcastle,0.76,1,Away,Liverpool 2-1 Newcastle
West Ham,1.31,1,Home,West Ham 1-1 Tottenham
Tottenham,0.89,1,Away,West Ham 1-1 Tottenham
Bournemouth,0.37,0,Home,Bournemouth 0-0 Wolves
Wolves,1.74,0,Away,Bournemouth 0-0 Wolves
Arsenal,2.96,2,Home,Arsenal 2-1 Aston Villa
Aston Villa,0.36,1,Away,Arsenal 2-1 Aston Villa
